"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","12.46",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","11.9854",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","11.0359",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","11.79",2023,"","Ministère de la Poste et des Télécommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","11.9",2024,"","Ministère de la Poste et des Télécommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",11,"DZA","Algeria","11.88",2025,"","Ministère de la Poste et des Télécommunications; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","18.52",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","18.9",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","28.35",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","30.1461",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","26.6163",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","27.22",2023,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","17.23",2024,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",14,"AND","Andorra","16.83",2025,"","Andorra Telecom SAU; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","48.16",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","56.95",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","38.15",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","24.7515",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","39.9995",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","32.7",2023,"","Ente Nacional de Comunicaciones and ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","51.49",2024,"","Ente Nacional de Comunicaciones; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",16,"ARG","Argentina","65.78",2025,"","Ente Nacional de Comunicaciones and ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","10.33",2018,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","10.33",2019,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","12.37",2020,"","ITU","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","11.538",2021,"","","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","17.7748",2022,"","ITU Research","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","20.67",2023,"","Ministry of High-Tech Industry of Armenia; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","18",2024,"","Ministry of High-Tech Industry of Armenia; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
33330,"i154_FBB5$","Fixed-broadband Internet 5GB",,"% GNI per capita",17,"ARM","Armenia","17.7",2025,"","ITU Research; IMF","Fixed-broadband Internet 5GB, as a % of GNI pc"
