country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,63.5024,121.8074,23.251420000000003,8.669365898047166,,96.38780723588876,0.2759551430141021,65.1899425114713,0.6011451108771086,66.47523279728408,66.47523279728408
MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,12.156208,51.66106,0.10549428,2.481672377671174,,33.8582734836392,-1.9416438138987395,3.8467646029643228,-4.231009126686327,4.178281737799701,4.178281737799701
MDV,Maldives,South Asia,Upper middle income,IDA,78.6674,153.4602,13.16538,6.890861082253406,,73.28620666130115,0.1592364512720026,61.961272399382494,0.2142808192406705,61.48771280974128,61.48771280974128
MEA,,,,,50.18,101.04,8.408,6.372641604723711,73.49203491210938,60.812146759033205,-0.6694223241952374,39.03892995758349,-1.5723849115730884,38.45371552403244,38.45371552403244
MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,70.40812,99.04572,17.48876,5.748089935322148,95.51133922059452,102.14794311523448,0.06583603264891079,59.37763189104574,-0.00775285735306393,58.6252170357463,58.6252170357463
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,55.7668,38.051925,2.289972,6.145698518818862,,90.86330189211525,-0.9058570132921038,32.49867832561014,-1.8001112858486026,35.51782852710806,35.51782852710806
MIC,,,,,,106.7932706772734,13.23173144421602,7.0479618154556345,86.77176971435546,77.86713104248048,-0.1749480248775811,52.717068116727425,-0.4313173754010474,53.16455151181746,53.16455151181746
MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,81.77358,103.89088,25.31716,7.04018454481181,,84.78798828125,0.11220130537309184,60.6601871360461,0.3048066003583617,62.65478651613729,62.65478651613729
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,86.66116,126.3876,41.30136,9.230446281878354,,103.5723495483398,0.8531991032477911,81.157653372285,1.925034694771926,83.54304159670754,83.54304159670754
MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,45.1809,131.11499999999998,1.2477604,2.624133220035293,92.81345613536996,,-0.5294945558745758,42.90960908091068,-1.4868581559567517,39.55634094676605,39.55634094676605
MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD,78.60884,188.5648,29.684379999999997,6.701203704613453,,92.19345703124998,0.7748031490825801,78.98906605911343,1.4955084640280165,78.00551666271232,78.00551666271232
