country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary,cluster
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,88.55922000000001,138.243,29.14268,9.378490920393745,,96.52106170654297,57.27947769165038,0.4617246674232619,75.23210900238617,0.6520920705592986,75.23850330322786,0.9412420035230824,0.8104578139072516,0.204576394247562,75.23850330322786,1
ITA,Italy,Europe & Central Asia,High income,Not classified,74.52886000000001,132.47820000000002,30.050940000000004,9.915448556844524,,101.658610534668,68.81173400878905,0.4667703480042425,75.37485552275248,0.6572225617044349,75.34151676808682,0.3236679890013148,1.00076507147216,0.6472346246398301,75.34151676808682,1
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,78.0405,70.83088000000001,5.488414000000001,4.839768795761878,,90.1115103440606,30.98368055083078,-0.7888398860627266,39.85259267381254,-1.1125075864707763,39.80768009014312,-1.1140191073670616,-1.5795802327713928,-0.6439234192738755,39.80768009014312,0
JPN,Japan,East Asia & Pacific,High income,Not classified,87.90675999999999,154.298,34.77202,9.978683232387278,,102.4866729736326,62.8524757385254,0.7316629633288524,82.86888898393727,1.0324752793707817,82.87609417033062,1.3244817601975687,1.2488523517016776,0.5240917262130991,82.87609417033062,1
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,85.989,129.1678,13.59024,8.0756329482997,,94.59112816673496,57.64627634266937,0.112868232047712,65.36266890247889,0.1589101131603718,65.33606301040021,0.6257228844189204,-0.3041790288852376,0.1551864839474327,65.33606301040021,1
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,71.72336,119.0794,4.493902,6.002089120358663,,91.87123283331182,46.31376363417894,-0.3850206505745377,51.27697632191869,-0.5435068752756097,51.23246050770604,-0.1088859043112394,-1.3124343234602136,-0.2092003980553759,51.23246050770604,1
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,55.894125,121.194,1.6964739999999998,5.054475670798671,80.72972385434217,52.233772702483975,13.638486109193142,-0.9851973273117084,34.29747656282073,-1.5310714994084869,31.403471269411018,-0.58812821488244,-1.7067103224085567,-2.298375960934463,31.403471269411018,0
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,96.6851,137.3496,43.20346,8.655388087966589,,98.1352279663086,97.47536010742188,0.8874968288670959,87.2775592720775,1.249098438481259,87.22560020345597,1.1921080398438548,1.3017105923595185,1.2534766832404027,87.22560020345597,1
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,52.40648,61.32496,1.5534452,4.531836152455594,,62.06396246382876,13.383353035737802,-1.421203327938909,21.9625024301008,-2.001434130911845,21.95921280747436,-2.21644208078733,-1.8557002021425744,-1.9321601098056305,21.95921280747436,0
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,81.98034,74.25544,7.4182375,5.614936234153849,,65.48667558244126,52.79753108573988,-0.713501230288429,41.98398620700483,-1.0058292804865376,41.94963913730761,-0.8950258927050555,-1.2745899662846414,-0.8478719824699159,41.94963913730761,0
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend,62.33496,92.88764,14.26636,6.009298592371966,,88.37081718444826,15.900979518890376,-0.7084327942138776,42.12737649930128,-0.9967414480527776,42.13211077220105,-1.0858027265659294,-0.8325063017611993,-1.0719153158312045,42.13211077220105,0
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,94.87955,125.3352,46.30328,10.865624319549138,,117.54378509521474,42.0209197998047,0.7892676898185115,84.49857483722876,1.1147803748952108,84.52867144327995,0.8281389545869534,2.0538147345450217,0.4623874355536571,84.52867144327995,1
LKA,Sri Lanka,South Asia,Lower middle income,IDA,37.84756,136.3242,8.489518,6.039834490855292,92.2519989013672,91.31217245910294,20.13104023205722,-0.5240245979392694,47.34443848385353,-0.9162233743829232,43.74880701391755,-0.8134921769736643,-1.1067544802060243,-0.8284234659690807,43.74880701391755,0
LTU,Lithuania,Europe & Central Asia,High income,Not classified,83.80294,133.47899999999998,28.41506,10.675896423090688,,105.6612579345702,71.32569732666015,0.6199997911076159,79.70984452366596,0.8731550359522778,79.67715476425181,0.6609732799536763,1.1273582540239449,0.8311335738792127,79.67715476425181,1
LUX,Luxembourg,Europe & Central Asia,High income,Not classified,97.90888,134.5256,37.581900000000005,10.78320683021798,,107.0662200927732,20.1033218383789,0.5559980154917207,77.89918080450943,0.7887797357983658,77.98301052513544,1.1620132592932122,1.6048617228127178,-0.4005357747108323,77.98301052513544,1
LVA,Latvia,Europe & Central Asia,High income,Not classified,88.16408,110.6738,26.32864,9.898871815829986,,106.658596801758,93.44282989501954,0.5839332894214598,78.68949304979526,0.8193161022165555,78.59614030549243,0.232160052731416,0.8142043100188401,1.4115839438994109,78.59614030549243,1
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,86.8324,200.355306,29.75726,8.452261418878264,,90.14524657450404,91.77642165586164,0.924479334387712,88.32382525993948,1.3030137104489323,88.30814743277318,2.4507186168362476,0.5888723017707814,0.869450212739768,88.30814743277318,1
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,82.215,133.9144,5.506614000000001,6.116523520274527,,80.66390785372623,40.23963651067068,-0.3117061775230007,53.35110403425249,-0.4377964902717876,53.354984983972386,0.6185320154494744,-1.23181240806083,-0.7001090782040071,53.354984983972386,1
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,63.5024,121.8074,23.251420000000003,8.669365898047166,,96.38780723588876,58.64639440410085,0.0590817616754258,63.841004705706204,0.0825161921490616,63.80217429001951,-0.3166498118472057,0.3296572106085484,0.2345411776858422,63.80217429001951,1
MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,12.156208,51.66106,0.10549428,2.481672377671174,,33.8582734836392,5.353438864666658,-2.197514874706774,0.0,-3.0950925863103484,0.0,-3.814648794577153,-2.4835220950955037,-2.987106869258388,0.0,0
MDV,Maldives,South Asia,Upper middle income,IDA,78.6674,153.4602,13.16538,6.890861082253406,,73.28620666130115,31.0050232683459,-0.1939642848778756,56.68212057536864,-0.2693055057353479,56.738060721478014,0.9924584667995152,-0.6468459796071946,-1.153529004398364,56.738060721478014,1
MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,70.40812,99.04572,17.48876,5.748089935322148,95.51133922059452,102.14794311523448,44.3809242248535,-0.1978400931355159,56.5724707207047,-0.4220900646639211,53.67034920089533,-0.6587465724031443,-0.7458662490002849,0.1383426274116657,53.67034920089533,1
