country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary,cluster
FIN,Finland,Europe & Central Asia,High income,Not classified,88.0184,131.0914,31.56024,10.123003847155996,,150.47875906372087,91.33157806396484,1.2583663396666769,98.04822820843874,3.1352221409539727,97.56389054778336,97.56389054778336,0
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,53.404340000000005,110.9186,1.6951639999999997,4.959345208956601,,90.243881902916,77.0046187141324,-0.2779278669535194,53.84130842278103,-0.7440037428495786,52.08569106690347,52.08569106690347,1
FRA,France,Europe & Central Asia,High income,Not classified,80.63224,105.8672,43.44598,9.589182529845584,,103.662089538574,65.71849746704099,0.6999387242790451,81.97945395077461,1.862829953773551,82.6469696362929,82.6469696362929,0
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,92.08186,119.728,39.0963,9.880705746506402,,122.14203834533674,60.16781921386716,0.916215755862668,88.2028331352416,2.363795534140996,88.52005186440662,88.52005186440662,0
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,59.45984,144.5924,20.49208,7.358738166528264,99.6373613391459,109.5169883817944,62.00662447333508,0.4246704174127618,74.05859874691197,0.8359396333774688,70.60819586162226,70.60819586162226,0
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,30.79148,127.853,0.2252645999999999,3.9605820612557574,,68.07179364073318,16.128002417159003,-0.9389302607206864,34.8209413124487,-2.469292476819079,31.85922641755769,31.85922641755769,1
GRC,Greece,Europe & Central Asia,High income,Not classified,70.74510000000001,115.4154,35.1484,8.143528662571276,,104.3956192016602,111.15719329833983,0.766850565868806,83.9048445440104,1.9133277989097517,83.23898235822466,83.23898235822466,0
GRD,Grenada,Latin America & Caribbean ,Upper middle income,Blend,57.14256,101.72248,21.06172,5.7056385443136,,106.35986148406676,98.06920242309572,0.2149273221271415,68.02323380904286,0.5452979527318987,67.20085101350595,67.20085101350595,0
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,88.8189,212.783158,35.36546,9.869251955127954,,107.0322326172794,74.81117858609215,1.3261949898092078,100.0,2.9554431416752163,95.4562470548358,95.4562470548358,0
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,32.7664,81.99118,2.904662,4.087800573741601,88.15500068664552,54.190553342836374,23.51666610329,-1.034771852723557,32.063096134394165,-2.8898785847534163,26.92847489948153,26.92847489948153,1
HRV,Croatia,Europe & Central Asia,High income,IBRD,72.80258,107.517,26.53114,9.405471648176318,,104.2022491455076,71.26411895751953,0.4782186074091175,75.59944979590722,1.2669150142661445,75.66074627515626,75.66074627515626,0
HUN,Hungary,Europe & Central Asia,High income,Not classified,77.05814000000001,102.3148,30.1375,9.46691250574806,,103.8390670776368,50.54278030395508,0.4013800305209869,73.38841704560444,1.124938830120477,73.99628500955448,73.99628500955448,0
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,33.48822,136.30599999999998,2.576668,6.810651247684108,95.42000071207684,90.87316350781094,35.34586476484472,-0.2740649423147943,53.95246421501555,-1.0898417140837269,48.031251156735586,48.031251156735586,1
IND,India,South Asia,Lower middle income,IBRD,19.84096,82.74314,1.335584,5.0014349117274,,75.41945190429688,27.80742356418482,-1.055222087102648,31.474639921450915,-2.5732372583680614,30.640627230019245,30.640627230019245,1
