country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary
BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,96.58094,125.75039999999998,15.36212,9.441989976125816,,88.72111728387922,0.35807005027355043,71.02769609853787,0.41278162665463736,71.50776505335338,1.009130652781231,0.32837663727501903,-0.09916241009233775,71.50776505335338
BTN,Bhutan,South Asia,Lower middle income,IDA,77.29148,96.03614,0.7959006000000001,6.456381879595096,,90.0939476946356,-0.4084254615965509,49.570777312180695,-0.48538025417795333,51.47103024536344,-0.2738888445446309,-1.1386772876924849,-0.04357463029674418,51.47103024536344
CAN,Canada,North America,High income,Not classified,93.358,88.6855,40.6955,10.565520712994742,,109.6517059326172,0.6810620104621377,80.06938277652502,0.8721287981457375,81.75515770759915,0.034100601216395354,1.8339400597856723,0.748345733435145,81.75515770759915
CHE,Switzerland,Europe & Central Asia,High income,Not classified,94.26364,125.6322,46.72338,11.653674146721563,,103.8936599731446,1.0498061483295866,90.39183463258756,1.2850480967811289,90.96680948265443,0.9367850827298244,2.4031646255079715,0.5151945821055909,90.96680948265443
CHL,Chile,Latin America & Caribbean ,High income,IBRD,88.22948,132.9726,19.8613,9.32213264140207,,104.8024719238284,0.5208611250739072,75.58479371625623,0.6650974757999716,77.13657859472897,0.9296348364715193,0.5136639707228389,0.5519936202055565,77.13657859472897
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,36.843219999999995,141.1824,0.9390658,3.829319105065219,,54.301991066230165,-0.9339550844573102,34.85934552566397,-1.239298016436365,34.65217988912056,-0.4179787402214362,-1.8070754323887277,-1.492839876698931,34.65217988912056
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,68.95068,140.178,15.27376,6.453792548728915,95.39208623832894,101.6847824096678,0.18648367413623235,66.22438690675789,0.20582529972637023,66.89085898331024,0.5217997621354163,-0.44396968718862434,0.5396458242323188,66.89085898331024
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,66.77188,113.6122,4.858456,6.305669371040474,,96.38685030851109,-0.28369287573481317,53.0624832953218,-0.31472063438938847,55.27820756730238,-0.17310323920125095,-0.9822922620095308,0.21123359804261627,55.27820756730238
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,80.11189999999999,155.3224,19.467,7.312288134056476,,132.4606674194336,0.678793029450822,80.00586597762191,0.9552148200398475,83.60869059790605,1.215628273552972,-0.021895574078572948,1.6719117606451435,83.60869059790605
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,67.53246,58.7977,2.0298842,4.3211407813718035,,101.03594473419004,-0.7889194884425432,38.91940453008924,-0.8926556495197953,42.38528605555321,-1.4491859260221953,-1.6282628085269109,0.39948178598972045,42.38528605555321
CYP,Cyprus,Europe & Central Asia,High income,Not classified,88.33192,142.53199999999998,37.043099999999995,10.315772841231594,,101.8073150634764,0.8667096484227642,85.26631639050196,1.0614222966771527,85.9780307908285,1.1592329181632794,1.5943183468920383,0.43071562497614047,85.9780307908285
CZE,Czechia,Europe & Central Asia,High income,Not classified,82.02094,124.41100000000002,35.52856,11.09034580256304,,101.21704559326164,0.7225480376270682,81.23072332172234,0.8893068386265764,82.13837575434638,0.5404304723718091,1.7206752361952538,0.40681480731266645,82.13837575434638
DEU,Germany,Europe & Central Asia,High income,Not classified,89.60898,127.3892,43.0137,11.455467685203429,,101.0636993408204,0.9338834280512446,87.14674792824752,1.1377914139569356,87.68171893782134,0.8387284039101467,2.1740402300118733,0.40060560794878686,87.68171893782134
DMA,Dominica,Latin America & Caribbean ,Upper middle income,Blend,78.76165,103.1795,21.63326,10.500480291172035,,105.432586335409,0.35575814127392985,70.96297759350021,0.4728909279090181,72.84871945637384,-0.06049526976034275,0.9016602394800916,0.5775078140073057,72.84871945637384
DNK,Denmark,Europe & Central Asia,High income,Not classified,97.72814,125.1162,44.33138,12.02289414628581,,130.2509796142576,1.2878758012422433,97.05624574646347,1.664717484479225,99.43670226965038,1.0285310692683232,2.383182903084979,1.5824384810843721,99.43670226965038
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,80.5821,84.918,9.377014,4.922640334424626,93.650302629855,78.86987569405241,-0.375479677391313,50.49304626887675,-0.6553695914281589,47.67880598896218,-0.43859415624790726,-1.1207666684281494,-0.40674794960842003,47.67880598896218
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,65.24658000000001,93.05474,13.23632,6.103316103934682,94.79000091552736,94.30407635466082,-0.20459660409556302,55.27666752808565,-0.36831699784971955,54.08254769323626,-0.7060177389422183,-0.6319165097282541,0.2329832551213137,54.08254769323626
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,64.07509999999999,87.87694,8.459641999999999,3.6795410822361023,,79.10721013448361,-0.7638471681772521,39.62126739997785,-0.9455580890965818,41.205106652355674,-0.8638705329962458,-1.4843610828773635,-0.488442651416136,41.205106652355674
ESP,Spain,Europe & Central Asia,High income,Not classified,91.6829,118.1634,33.96346,9.929468534425212,98.90999857584632,118.690623474121,0.8019252991667901,83.45277345504377,1.1011034957477326,86.86326281815884,0.6823503453232138,1.3471051570664831,1.2738549848535006,86.86326281815884
