country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,81.77358,103.89088,25.31716,7.04018454481181,,84.78798828125,45.659639739990226,-0.00203092264950006,57.42425100004378,0.05926724733293339,59.57260648757923,59.57260648757923
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,86.66116,126.3876,41.30136,9.230446281878354,,103.5723495483398,65.97377395629884,0.756071358312381,78.97263229204273,1.870150278765972,81.76653123878611,81.76653123878611
MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD,78.60884,188.5648,29.684379999999997,6.701203704613453,,92.19345703124998,57.586824798584,0.6429878783632532,75.75833521767152,1.2717147247263068,74.43219024366799,74.43219024366799
MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,64.89786000000001,137.1548,10.628858,7.521352593666348,98.5085526277136,93.4604812190166,66.89111839104096,0.2506743705429203,64.60717360688193,0.36606786348251724,63.332711182502244,63.332711182502244
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,27.95236,116.8834,0.3538584,2.653307795753036,,36.37880552010596,5.664312657542193,-1.475173562486418,15.551485150518598,-3.7413027410790773,12.993361516819576,12.993361516819576
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,IBRD,67.03182,152.2732,24.45656,7.85807996612388,,91.35154419001285,42.81878540865311,0.25801622740073876,64.81585934090032,0.4796534228427068,64.7247996352108,64.7247996352108
MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,13.654478,51.08124,0.06464482,2.972444878865409,,37.441459257690056,5.141265413880734,-1.9592820794098629,1.7911322649756394,-4.638392042622771,1.9987626896287418,1.9987626896287418
MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,89.81862,133.4314,10.007078,8.86713653907738,95.19666544596356,75.37044449838028,39.80764011576064,0.17760396254146574,62.53021242061628,0.229705140486863,61.661469053384565,61.661469053384565
NAC,,,,,90.68,103.92,35.956,11.72450352154594,98.77457275390624,100.57620544433613,84.57004241943359,0.8692006169920542,82.18823058600611,2.353012615885345,87.68442333297548,87.68442333297548
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,IBRD,54.37386,104.817,2.879484,5.3435545946639715,,81.18236255857582,25.659773721836963,-0.7183447318859555,37.063669751604735,-1.7589607051085958,37.28866342964771,37.28866342964771
NLD,Netherlands,Europe & Central Asia,High income,Not classified,92.2173,121.1884,42.84432,11.86786370792458,,128.0636657714844,86.12647247314453,1.248217546225649,92.96144880780798,3.139192687880915,97.31973442480249,97.31973442480249
NOR,Norway,Europe & Central Asia,High income,Not classified,97.41986,109.0496,43.75802,10.513873780715803,,119.267398071289,89.97731018066406,1.0952659809512466,88.61393696077975,2.8095284223748505,93.2794160967802,93.2794160967802
NPL,Nepal,South Asia,Lower middle income,IDA,39.995,134.11020000000002,3.994829999999999,5.495078489708136,,83.40371962998142,14.14158879365332,-0.6752004199651321,38.29000834363646,-1.7880691213092155,36.93191482271415,36.93191482271415
NZL,New Zealand,East Asia & Pacific,High income,Not classified,93.28144,120.5704,34.8045,9.830978231927425,,116.3881896972654,78.1987747192383,0.8940765089161906,82.89530563065541,2.2434735415839278,86.34192802534722,86.34192802534722
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,92.29516,138.0912,10.653414,5.469997864586861,96.62999979654948,97.37762225620789,45.58628529435775,0.2046660348963775,63.29942769446484,0.2749428294042478,62.215895731598245,62.215895731598245
OSS,,,,,,119.911565279297,14.95527230791106,9.7214056632414,86.67107849121096,72.76862640380858,21.49455604553222,-0.1358240772002052,53.62129989315626,-0.4040692827263691,53.89401990626712,53.89401990626712
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,19.39334,74.43245999999999,1.077817,4.423619634586005,57.956666310628265,39.14335427248467,10.78435715873472,-1.6639606425100697,10.185380753376814,-4.221998268923121,7.102025528779603,7.102025528779603
PAN,Panama,Latin America & Caribbean ,High income,IBRD,70.03574,143.42260000000002,14.13382,7.529802525429527,95.79667680513316,,51.82278698393727,0.2504976049562669,64.60214920271356,0.2851022566900089,62.34040822676317,62.34040822676317
PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,56.60208,139.8552,6.477549999999999,4.698565648491499,,86.16886805231557,32.364201475293044,-0.41425141490514844,45.70725110890791,-1.1611437602906831,44.61542283816988,44.61542283816988
POL,Poland,Europe & Central Asia,High income,IBRD,82.6957,130.428,21.92304,10.153808963132596,,110.3766754150388,72.07969055175782,0.6686865910950992,76.4887982100223,1.6162835639861874,78.6551769067507,78.6551769067507
PRE,,,,,,79.25227281322175,0.9917235789642304,3.832037118383671,66.2838409423828,43.39095382690428,8.588057518005371,-1.4659843430461932,15.812680518540144,-3.19535626734096,19.684403812766213,19.684403812766213
PRT,Portugal,Europe & Central Asia,High income,Not classified,79.015,117.3702,39.9176,9.990201817115793,,119.2803176879886,69.38908081054687,0.8081299859534372,80.45235235900304,2.050742956084233,83.97984939432082,83.97984939432082
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,IBRD,72.14923999999999,120.27759999999998,8.359376000000001,6.18028766711198,93.92333221435548,84.25402175228857,,-0.09656016539164454,54.73734157237767,-0.44493964708381967,53.39311853640566,53.39311853640566
