country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
JOR,-21.24,-13.07,-4.17,-11.76,54.40646666666667,11.983283333333333,20.4595925,18.1906,65.3733,14.8959,19.7155,19.6509,26.3387,17.1914,15.582,7.1276,4.56599,10.514803333333331,8.129795000000001
JPN,-28.85,-18.54,-0.69,-17.67,70.74615,46.371483999999995,62.6117,,,19.401,56.7434,,,12.4823,51.8428,,,39.67341666666667,
KAZ,-7.85,-11.77,-1.18,-11.77,33.627125,16.498548333333336,22.235200000000003,,,,,,,,,,,18.571415,12.2044
KEN,-23.19,-7.73,-4.1,-2.5,,,,,,,,,,,,,,,
KGZ,-10.89,-2.87,-1.47,-2.46,,,,,,,,,,,,,,,
KHM,-15.0,-1.0,-1.9,-4.0,,,,,,,,,,,,,,,
KIR,-0.0,-12.55,-9.95,-23.37,,,,,,,,,,,,,,,
KNA,-58.5,-37.04,-1.97,-37.04,,,,,,,,,,,,,,,
KOR,-23.85,-11.36,-0.74,-15.14,74.4461,56.706045,67.71195,15.898,81.7238,33.5222,62.7629,7.816,87.4546,6.36644,89.2479,35.173,24.9908,67.34328000000001,42.5773
KWT,-16.21,-16.21,-0.64,-19.45,68.6671,37.539475,49.02085,,,,,,,,,,,54.537816666666664,35.123149999999995
LAO,-7.58,-1.84,-2.81,-3.49,,,,,,,,,,,,,,,
LBN,-5.21,-9.43,-4.69,-8.36,,,,,,,,,,,,,,,
LBR,-93.0,-8.0,-15.79,-5.0,,,,,,,,,,,,,,,
LBY,-4.09,-2.04,-0.76,-3.01,,,,,,,,,,,,,,,
LCA,-42.52,-45.56,-4.49,-48.47,,,,,,,,,,,,,,,
LIE,-66.63,-11.01,-0.13,-22.14,,,,,,,,,,,,,,,
LKA,-2.46,-1.74,-0.64,-1.57,,,,,,,,,,,,,,,
LSO,-5.35,-8.0,-13.01,-8.57,,,,,,,,,,,,,,,
LTU,-9.36,-7.25,-0.29,-6.83,50.498463333333326,32.0167225,58.72505,16.6744,63.843,18.749,39.5887,7.85309,78.4973,18.107,60.3608,,,47.6165,36.1294
LUX,-54.71,-11.57,-0.15,-8.42,52.10053333333334,38.29728333333333,66.71249999999999,,,,,,,,,,,50.490043333333325,
LVA,-18.41,-10.5,-0.9,-10.51,54.82659999999999,17.259125,61.21973333333333,18.7012,65.3352,27.3233,3.59741,15.9028,67.8686,18.4913,68.2555,,,48.51466666666666,
MAC,-31.2,-5.99,-0.21,-12.54,39.5468,28.488275,59.58405,,,,,,,,,,,36.37125999999999,34.347350000000006
MAR,-9.99,-4.95,-2.15,-2.52,53.69741,22.233183333333333,24.9707,,,,,,,,,,,27.282416666666663,22.08585
MCO,-42.07,-42.07,-0.25,-52.59,,,,,,,,,,,,,,,
MDA,-9.33,-3.25,-0.61,-3.79,,,,,,,,,,,,,,,
MDG,-10.46,-5.34,-18.79,-3.33,,,,,,,,,,,,,,,
MDV,-17.52,-21.02,-2.29,-14.02,,,,,,,,,,,,,,,
MEX,-17.09,-12.19,-1.43,-8.81,58.0026,18.431162,49.37803333333333,9.53667,67.7941,4.50433,28.2736,18.5619,53.1123,15.7442,28.5605,,,21.61762,
MHL,-49.95,-25.0,-3.58,-25.0,,,,,,,,,,,,,,,
MKD,-15.34,-9.37,-2.1,-10.22,,,,,,,,,,,,,,,
MLI,-15.88,-8.02,-16.89,-8.02,,,,,,,,,,,,,,,
MLT,-29.45,-10.51,-0.36,-10.51,59.005966666666666,37.890305,73.89203333333334,2.67565,88.0808,0.0,50.1207,6.78719,80.7162,22.7243,63.5662,24.2373,54.726,56.029399999999995,
MMR,-3.35,-4.04,-8.43,-1.5,,,,,,,,,,,,,,,
MNE,-25.14,-10.52,-1.01,-10.52,57.57966666666667,34.7656575,62.99363333333334,,,,,,,,,,,25.78900333333333,
MNG,-9.26,-4.05,-1.21,-4.78,45.5653,12.55833,17.7785,,,,,,,,,,,30.38665,12.6083
MNP,-95.0,-10.0,-37.33,-18.0,,,,,,,,,,,,,,,
MOZ,-21.17,-3.07,-8.5,-2.75,,,,,,,,,,,,,,,
MRT,-30.14,-5.02,-3.67,-2.51,,,,,,,,,,,,,,,
MUS,-10.73,-5.89,-0.89,-6.85,,,,,,,,,,,,,,,
MWI,-8.57,-3.43,-11.54,-3.12,5.1323535,1.69898825,2.2690866666666665,12.0066,4.11375,1.15992,1.53701,3.37882,1.46589,1.3931,1.95989,0.451442,0.858115,1.9559128,1.16161
MYS,-21.2,-2.25,-0.52,-6.18,74.5838,43.14503333333334,62.4126,4.42954,94.0046,15.6237,68.2064,14.9622,80.0668,9.41552,81.0148,20.9635,53.1028,58.79888,63.58455
NAM,-18.86,-9.7,-2.75,-3.73,,,,,,,,,,,,,,,
NCL,-0.0,-26.17,-1.11,-11.34,,,,,,,,,,,,,,,
NER,-29.49,-8.02,-17.75,-5.45,8.03512,3.0700725,,,,,,,,,,,,7.190555,
NGA,-9.75,-0.99,-3.44,-1.73,,,,,,,,,,,,,,,
NIC,-17.17,-8.74,-3.88,-8.74,,,,,,,,,,,,,,,
